127.0.0.1 - - [31/May/2025:00:24:50 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:15 +0200] "GET /jira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.056561461c/aui.splitchunk.056561461c.css HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.d7c46c2734/aui.splitchunk.d7c46c2734.css HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.949297951c/aui.splitchunk.949297951c.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.7da3927366/aui.splitchunk.7da3927366.css HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.4b52f9e2be/aui.splitchunk.4b52f9e2be.css HTTP/1.1" 200 2367
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.908fe798b4/aui.splitchunk.908fe798b4.css HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.462ee5f9ef/aui.splitchunk.462ee5f9ef.css HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.50dca3e042/aui.splitchunk.50dca3e042.css HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [31/May/2025:00:25:16 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/-78kzda/9120002/1dlckms/9.3.18/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.b2ecdd4179/aui.splitchunk.b2ecdd4179.css HTTP/1.1" 200 351
