2025-06-03 23:01:00,086+0200 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-03 23:01:00,087+0200 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2025-06-03 23:01:00,087+0200 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-04 00:01:00,017+0200 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-04 00:01:00,018+0200 category: jira.administration.project.summary, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-04 03:02:44,025+0200 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-04 03:02:44,028+0200 category: jira.project.issue.view-issue, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-04 03:02:44,028+0200 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=3}
2025-06-04 03:02:44,028+0200 category: jira.administration.project.summary, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-14 03:01:00,173+0200 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-14 03:01:00,174+0200 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=3}
2025-06-14 03:01:00,174+0200 category: jira.administration.project.summary, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2025-06-15 14:01:00,208+0200 category: jira.project.issue.view-issue, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2025-06-15 14:01:00,209+0200 category: overall, apdex: {apdexScore=8, satisfiedCount=0, toleratingCount=1, frustratedCount=5}
2025-06-15 14:01:00,209+0200 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2025-06-15 14:01:00,210+0200 category: jira.gadgets.iframe.activity-stream, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2025-06-15 14:01:00,210+0200 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
